Região,Alcance,Impressões,Frequência,Valor gasto (BRL),CPM (custo por 1.000 impressões),Cliques no link,Cliques no link [No anúncio],CPC (custo por clique no link),CPC (custo por clique no link) [No anúncio],CTR (taxa de cliques no link),Cliques (todos),Início dos relatórios,Término dos relatórios
Minas Gerais,274900,486594,1.7700763914151,1849.9573112692,3.80184982,5397,5397,0.34277512,0.34277512,1.1091382137881,13723,2017-08-13,2019-02-15
Pernambuco,151528,292306,1.9290560160498,1757.0514198316,6.01100018,2699,2699,0.6510009,0.6510009,0.92334745095893,20328,2017-08-13,2019-02-15
São Paulo (state),206815,356022,1.7214515388149,1150.9529853358,3.23281422,3187,3187,0.36113994,0.36113994,0.89516939964384,5434,2017-08-13,2019-02-15
Rio de Janeiro (state),176100,297863,1.6914423622942,970.71155569317,3.25891956,2790,2790,0.34792529,0.34792529,0.93667222850774,4799,2017-08-13,2019-02-15
Ceará,115182,209965,1.8228976749839,965.66123543741,4.59915336,1738,1738,0.55561636,0.55561636,0.82775700712023,8718,2017-08-13,2019-02-15
Paraná,166885,276417,1.6563322048117,889.14638340415,3.21668488,2628,2628,0.33833576,0.33833576,0.95073747273142,4106,2017-08-13,2019-02-15
Amazonas,64502,138874,2.1530185110539,781.76957432284,5.6293444,1454,1454,0.53766821,0.53766821,1.0469922375679,9594,2017-08-13,2019-02-15
Bahia,97776,170077,1.7394554900998,679.86311213241,3.9973842,1335,1335,0.50926076,0.50926076,0.78493858664017,4752,2017-08-13,2019-02-15
Maranhão,60406,89853,1.4874846869516,663.27206004469,7.38174641,999,999,0.663936,0.663936,1.1118159660779,5334,2017-08-13,2019-02-15
Rio Grande do Sul,100336,185409,1.8478811194387,559.49547926451,3.01762848,1663,1663,0.33643745,0.33643745,0.89693596319488,2207,2017-08-13,2019-02-15
Goiás,83955,138183,1.6459174557799,521.75308590763,3.77581241,1715,1715,0.3042292,0.3042292,1.2411078063148,2468,2017-08-13,2019-02-15
Pará,52216,86985,1.6658686992493,338.66147552664,3.8933319,1221,1221,0.27736403,0.27736403,1.4036902914296,3452,2017-08-13,2019-02-15
Paraíba,48120,73290,1.5230673316708,317.70014630671,4.33483622,591,591,0.5375637,0.5375637,0.80638559148588,2843,2017-08-13,2019-02-15
Mato Grosso do Sul,40953,64499,1.5749517739848,246.81565131105,3.82665857,724,724,0.3409056,0.3409056,1.1224980232252,1061,2017-08-13,2019-02-15
Piauí,24572,46826,1.9056649845352,241.5653183719,5.15878611,396,396,0.61001343,0.61001343,0.84568402169735,2465,2017-08-13,2019-02-15
Santa Catarina,45049,66512,1.4764367688517,230.07458971078,3.45914406,621,621,0.37049048,0.37049048,0.93366610536445,730,2017-08-13,2019-02-15
Federal District,33787,62841,1.8599165359458,198.97261744265,3.16628662,498,498,0.39954341,0.39954341,0.79247624958228,845,2017-08-13,2019-02-15
Mato Grosso,30715,47781,1.5556242878073,191.47214181529,4.0072862,692,692,0.27669385,0.27669385,1.448274418702,797,2017-08-13,2019-02-15
Rio Grande do Norte,31227,51197,1.6395106798604,189.12199278539,3.69400537,365,365,0.51814245,0.51814245,0.71293239838272,932,2017-08-13,2019-02-15
Alagoas,21501,32780,1.5245802520813,135.91861900197,4.14638862,230,230,0.59095052,0.59095052,0.70164734594265,1048,2017-08-13,2019-02-15
Rondônia,27644,40261,1.4564100709015,126.2980089306,3.13698142,540,540,0.2338852,0.2338852,1.341248354487,940,2017-08-13,2019-02-15
Espírito Santo,27644,41367,1.4964187527131,117.69746354456,2.84520182,369,369,0.31896332,0.31896332,0.89201537457394,553,2017-08-13,2019-02-15
Roraima,8703,17097,1.9644950017235,75.254772127864,4.40163608,217,217,0.34679618,0.34679618,1.2692285196233,820,2017-08-13,2019-02-15
Sergipe,15358,20321,1.3231540565178,72.614604707032,3.57337753,168,168,0.43222979,0.43222979,0.82673096796418,458,2017-08-13,2019-02-15
Amapá,10750,16186,1.5056744186047,68.744359283313,4.24714934,178,178,0.38620427,0.38620427,1.099715803781,770,2017-08-13,2019-02-15
Tocantins,8703,15485,1.7792715155693,40.72258233949,2.62980835,245,245,0.16621462,0.16621462,1.5821762996448,311,2017-08-13,2019-02-15
Acre (state),5631,7395,1.3132658497603,21.761379953519,2.94271534,116,116,0.1875981,0.1875981,1.5686274509804,172,2017-08-13,2019-02-15
Lisbon District,0,111,0,0.64004058686821,5.76613141,2,2,0.32002029,0.32002029,1.8018018018018,6,2017-08-13,2019-02-15
Unknown,237,237,1,0.53003361100023,2.23642874,,,,,,3,2017-08-13,2019-02-15
Santa Cruz Department,0,1,0,0,0,,,,,,0,2017-08-13,2019-02-15
